Entity,Code,Year,Total number of international immigrants
Afghanistan,AFG,1990,57686
Afghanistan,AFG,1995,71522
Afghanistan,AFG,2000,75917
Afghanistan,AFG,2005,87314
Afghanistan,AFG,2010,102276
Afghanistan,AFG,2015,339432
Afghanistan,AFG,2020,144098
Afghanistan,AFG,2024,98110
Africa,,1990,16176915
Africa,,1995,16653698
Africa,,2000,15413140
Africa,,2005,16602802
Africa,,2010,17752216
Africa,,2015,22683929
Africa,,2020,25267356
Africa,,2024,29180440
Albania,ALB,1990,66013
Albania,ALB,1995,71354
Albania,ALB,2000,76695
Albania,ALB,2005,64739
Albania,ALB,2010,52784
Albania,ALB,2015,52031
Albania,ALB,2020,48810
Albania,ALB,2024,46377
Algeria,DZA,1990,273954
Algeria,DZA,1995,262032
Algeria,DZA,2000,250110
Algeria,DZA,2005,197728
Algeria,DZA,2010,217268
Algeria,DZA,2015,239473
Algeria,DZA,2020,250378
Algeria,DZA,2024,259458
American Samoa,ASM,1990,21283
American Samoa,ASM,1995,23098
American Samoa,ASM,2000,24912
American Samoa,ASM,2005,24233
American Samoa,ASM,2010,23555
American Samoa,ASM,2015,23513
American Samoa,ASM,2020,23608
American Samoa,ASM,2024,23684
Andorra,AND,1990,38891
Andorra,AND,1995,44206
Andorra,AND,2000,42147
Andorra,AND,2005,50298
Andorra,AND,2010,52053
Andorra,AND,2015,42264
Andorra,AND,2020,45574
Andorra,AND,2024,48408
Angola,AGO,1990,33517
Angola,AGO,1995,39813
Angola,AGO,2000,46108
Angola,AGO,2005,62331
Angola,AGO,2010,336367
Angola,AGO,2015,632178
Angola,AGO,2020,656434
Angola,AGO,2024,676507
Anguilla,AIA,1990,2570
Anguilla,AIA,1995,3317
Anguilla,AIA,2000,4063
Anguilla,AIA,2005,4684
Anguilla,AIA,2010,5103
Anguilla,AIA,2015,5471
Anguilla,AIA,2020,5715
Anguilla,AIA,2024,5918
Antigua and Barbuda,ATG,1990,12029
Antigua and Barbuda,ATG,1995,17550
Antigua and Barbuda,ATG,2000,23071
Antigua and Barbuda,ATG,2005,24741
Antigua and Barbuda,ATG,2010,26412
Antigua and Barbuda,ATG,2015,28082
Antigua and Barbuda,ATG,2020,29386
Antigua and Barbuda,ATG,2024,30473
Argentina,ARG,1990,1647935
Argentina,ARG,1995,1589660
Argentina,ARG,2000,1543851
Argentina,ARG,2005,1641560
Argentina,ARG,2010,1799680
Argentina,ARG,2015,1856613
Argentina,ARG,2020,1912294
Argentina,ARG,2024,1958039
Armenia,ARM,1990,433541
Armenia,ARM,1995,622042
Armenia,ARM,2000,588242
Armenia,ARM,2005,476812
Armenia,ARM,2010,210873
Armenia,ARM,2015,190896
Armenia,ARM,2020,207139
Armenia,ARM,2024,274645
Aruba,ABW,1990,14444
Aruba,ABW,1995,22274
Aruba,ABW,2000,30104
Aruba,ABW,2005,32540
Aruba,ABW,2010,34328
Aruba,ABW,2015,36114
Aruba,ABW,2020,53593
Aruba,ABW,2024,73494
Asia,,1990,46657270
Asia,,1995,44779342
Asia,,2000,47568162
Asia,,2005,51457579
Asia,,2010,64151786
Asia,,2015,78173152
Asia,,2020,84474238
Asia,,2024,91968240
Australia,AUS,1990,3991501
Australia,AUS,1995,4215646
Australia,AUS,2000,4389847
Australia,AUS,2005,4880921
Australia,AUS,2010,5879802
Australia,AUS,2015,6733056
Australia,AUS,2020,7604850
Australia,AUS,2024,8111404
Austria,AUT,1990,633753
Austria,AUT,1995,764758
Austria,AUT,2000,920045
Austria,AUT,2005,1174101
Austria,AUT,2010,1285706
Austria,AUT,2015,1540486
Austria,AUT,2020,1781046
Austria,AUT,2024,2327064
Azerbaijan,AZE,1990,402177
Azerbaijan,AZE,1995,588812
Azerbaijan,AZE,2000,523518
Azerbaijan,AZE,2005,301922
Azerbaijan,AZE,2010,251417
Azerbaijan,AZE,2015,224337
Azerbaijan,AZE,2020,198894
Azerbaijan,AZE,2024,218460
Bahamas,BHS,1990,26855
Bahamas,BHS,1995,31654
Bahamas,BHS,2000,36454
Bahamas,BHS,2005,45531
Bahamas,BHS,2010,54745
Bahamas,BHS,2015,59241
Bahamas,BHS,2020,63583
Bahamas,BHS,2024,67285
Bahrain,BHR,1990,176972
Bahrain,BHR,1995,213818
Bahrain,BHR,2000,238924
Bahrain,BHR,2005,387591
Bahrain,BHR,2010,643007
Bahrain,BHR,2015,721540
Bahrain,BHR,2020,785983
Bahrain,BHR,2024,840202
Bangladesh,BGD,1990,881617
Bangladesh,BGD,1995,934735
Bangladesh,BGD,2000,987853
Bangladesh,BGD,2005,1062270
Bangladesh,BGD,2010,1345546
Bangladesh,BGD,2015,1422179
Bangladesh,BGD,2020,2115408
Bangladesh,BGD,2024,2906338
Barbados,BRB,1990,24024
Barbados,BRB,1995,26224
Barbados,BRB,2000,28424
Barbados,BRB,2005,30624
Barbados,BRB,2010,32825
Barbados,BRB,2015,34475
Barbados,BRB,2020,34869
Barbados,BRB,2024,35187
Belarus,BLR,1990,1248977
Belarus,BLR,1995,1186282
Belarus,BLR,2000,1123586
Belarus,BLR,2005,1106982
Belarus,BLR,2010,1090378
Belarus,BLR,2015,1082905
Belarus,BLR,2020,1067090
Belarus,BLR,2024,1054604
Belgium,BEL,1990,944340
Belgium,BEL,1995,1003834
Belgium,BEL,2000,1076676
Belgium,BEL,2005,1243352
Belgium,BEL,2010,1567639
Belgium,BEL,2015,1814949
Belgium,BEL,2020,2046975
Belgium,BEL,2024,2349032
Belize,BLZ,1990,30404
Belize,BLZ,1995,33446
Belize,BLZ,2000,36488
Belize,BLZ,2005,41438
Belize,BLZ,2010,46390
Belize,BLZ,2015,54615
Belize,BLZ,2020,62043
Belize,BLZ,2024,68706
Benin,BEN,1990,76751
Benin,BEN,1995,105703
Benin,BEN,2000,134655
Benin,BEN,2005,248320
Benin,BEN,2010,309225
Benin,BEN,2015,366284
Benin,BEN,2020,394276
Benin,BEN,2024,418202
Bermuda,BMU,1990,15683
Bermuda,BMU,1995,16676
Bermuda,BMU,2000,17684
Bermuda,BMU,2005,18108
Bermuda,BMU,2010,18547
Bermuda,BMU,2015,19212
Bermuda,BMU,2020,19739
Bermuda,BMU,2024,20171
Bhutan,BTN,1990,23807
Bhutan,BTN,1995,27972
Bhutan,BTN,2000,32137
Bhutan,BTN,2005,40279
Bhutan,BTN,2010,48420
Bhutan,BTN,2015,51106
Bhutan,BTN,2020,53612
Bhutan,BTN,2024,55705
Bolivia,BOL,1990,73758
Bolivia,BOL,1995,83598
Bolivia,BOL,2000,92658
Bolivia,BOL,2005,107745
Bolivia,BOL,2010,122846
Bolivia,BOL,2015,143008
Bolivia,BOL,2020,164121
Bolivia,BOL,2024,183234
Bonaire Sint Eustatius and Saba,BES,1990,12930
Bonaire Sint Eustatius and Saba,BES,1995,13508
Bonaire Sint Eustatius and Saba,BES,2000,14233
Bonaire Sint Eustatius and Saba,BES,2005,16980
Bonaire Sint Eustatius and Saba,BES,2010,20559
Bonaire Sint Eustatius and Saba,BES,2015,24610
Bonaire Sint Eustatius and Saba,BES,2020,26454
Bonaire Sint Eustatius and Saba,BES,2024,30676
Bosnia and Herzegovina,BIH,1990,56000
Bosnia and Herzegovina,BIH,1995,69476
Bosnia and Herzegovina,BIH,2000,82952
Bosnia and Herzegovina,BIH,2005,47287
Bosnia and Herzegovina,BIH,2010,38945
Bosnia and Herzegovina,BIH,2015,38597
Bosnia and Herzegovina,BIH,2020,36042
Bosnia and Herzegovina,BIH,2024,34120
Botswana,BWA,1990,27510
Botswana,BWA,1995,40168
Botswana,BWA,2000,74934
Botswana,BWA,2005,84661
Botswana,BWA,2010,94863
Botswana,BWA,2015,103053
Botswana,BWA,2020,110268
Botswana,BWA,2024,116402
Brazil,BRA,1990,803218
Brazil,BRA,1995,732622
Brazil,BRA,2000,687362
Brazil,BRA,2005,641029
Brazil,BRA,2010,596859
Brazil,BRA,2015,646540
Brazil,BRA,2020,1048866
Brazil,BRA,2024,1406299
British Virgin Islands,VGB,1990,8035
British Virgin Islands,VGB,1995,10046
British Virgin Islands,VGB,2000,12958
British Virgin Islands,VGB,2005,15016
British Virgin Islands,VGB,2010,17076
British Virgin Islands,VGB,2015,19535
British Virgin Islands,VGB,2020,22164
British Virgin Islands,VGB,2024,24520
Brunei,BRN,1990,73200
Brunei,BRN,1995,84748
Brunei,BRN,2000,96296
Brunei,BRN,2005,98441
Brunei,BRN,2010,100587
Brunei,BRN,2015,102733
Brunei,BRN,2020,111959
Brunei,BRN,2024,119933
Bulgaria,BGR,1990,21510
Bulgaria,BGR,1995,32435
Bulgaria,BGR,2000,43360
Bulgaria,BGR,2005,61074
Bulgaria,BGR,2010,76287
Bulgaria,BGR,2015,123803
Bulgaria,BGR,2020,184363
Bulgaria,BGR,2024,299100
Burkina Faso,BFA,1990,349652
Burkina Faso,BFA,1995,464104
Burkina Faso,BFA,2000,520363
Burkina Faso,BFA,2005,597658
Burkina Faso,BFA,2010,674438
Burkina Faso,BFA,2015,704676
Burkina Faso,BFA,2020,723989
Burkina Faso,BFA,2024,739820
Burundi,BDI,1990,333110
Burundi,BDI,1995,254853
Burundi,BDI,2000,125628
Burundi,BDI,2005,192774
Burundi,BDI,2010,247321
Burundi,BDI,2015,298299
Burundi,BDI,2020,344767
Burundi,BDI,2024,387101
Cambodia,KHM,1990,38375
Cambodia,KHM,1995,92230
Cambodia,KHM,2000,146085
Cambodia,KHM,2005,114096
Cambodia,KHM,2010,82028
Cambodia,KHM,2015,73962
Cambodia,KHM,2020,79341
Cambodia,KHM,2024,83925
Cameroon,CMR,1990,265967
Cameroon,CMR,1995,244791
Cameroon,CMR,2000,227242
Cameroon,CMR,2005,265503
Cameroon,CMR,2010,291474
Cameroon,CMR,2015,508346
Cameroon,CMR,2020,579209
Cameroon,CMR,2024,642948
Canada,CAN,1990,4251056
Canada,CAN,1995,4853738
Canada,CAN,2000,5525404
Canada,CAN,2005,6086976
Canada,CAN,2010,7035001
Canada,CAN,2015,8049874
Canada,CAN,2020,8332892
Canada,CAN,2024,8805839
Cape Verde,CPV,1990,8931
Cape Verde,CPV,1995,9979
Cape Verde,CPV,2000,11027
Cape Verde,CPV,2005,12700
Cape Verde,CPV,2010,14373
Cape Verde,CPV,2015,14924
Cape Verde,CPV,2020,15788
Cape Verde,CPV,2024,16515
Cayman Islands,CYM,1990,9315
Cayman Islands,CYM,1995,12666
Cayman Islands,CYM,2000,19176
Cayman Islands,CYM,2005,20679
Cayman Islands,CYM,2010,24062
Cayman Islands,CYM,2015,26193
Cayman Islands,CYM,2020,29242
Cayman Islands,CYM,2024,31935
Central African Republic,CAF,1990,67234
Central African Republic,CAF,1995,99712
Central African Republic,CAF,2000,123529
Central African Republic,CAF,2005,96409
Central African Republic,CAF,2010,94685
Central African Republic,CAF,2015,81568
Central African Republic,CAF,2020,88546
Central African Republic,CAF,2024,94556
Central America (UN),,1990,1835750
Central America (UN),,1995,1298418
Central America (UN),,2000,1095698
Central America (UN),,2005,1367196
Central America (UN),,2010,1738911
Central America (UN),,2015,1935255
Central America (UN),,2020,2439531
Central America (UN),,2024,3120680
Central Asia (UN),,1990,6300541
Central Asia (UN),,1995,4912782
Central Asia (UN),,2000,4048262
Central Asia (UN),,2005,3978487
Central Asia (UN),,2010,3786871
Central Asia (UN),,2015,3766652
Central Asia (UN),,2020,3822237
Central Asia (UN),,2024,3910116
Central and Southern Asia (UN),,1990,25456471
Central and Southern Asia (UN),,1995,20140424
Central and Southern Asia (UN),,2000,18979217
Central and Southern Asia (UN),,2005,17615413
Central and Southern Asia (UN),,2010,18225935
Central and Southern Asia (UN),,2015,17681574
Central and Southern Asia (UN),,2020,17736883
Central and Southern Asia (UN),,2024,20369652
Chad,TCD,1990,74342
Chad,TCD,1995,89584
Chad,TCD,2000,104825
Chad,TCD,2005,352130
Chad,TCD,2010,417034
Chad,TCD,2015,466968
Chad,TCD,2020,547494
Chad,TCD,2024,1269673
Channel Islands,OWID_CIS,1990,61660
Channel Islands,OWID_CIS,1995,60519
Channel Islands,OWID_CIS,2000,64301
Channel Islands,OWID_CIS,2005,70941
Channel Islands,OWID_CIS,2010,77581
Channel Islands,OWID_CIS,2015,82307
Channel Islands,OWID_CIS,2020,84087
Channel Islands,OWID_CIS,2024,85539
Chile,CHL,1990,100133
Chile,CHL,1995,125754
Chile,CHL,2000,166608
Chile,CHL,2005,241522
Chile,CHL,2010,361531
Chile,CHL,2015,598039
Chile,CHL,2020,1476240
Chile,CHL,2024,1538324
China,CHN,1990,518395
China,CHN,1995,610608
China,CHN,2000,720915
China,CHN,2005,853360
China,CHN,2010,1010008
China,CHN,2015,1196007
China,CHN,2020,1415116
China,CHN,2024,1638718
Colombia,COL,1990,100672
Colombia,COL,1995,109550
Colombia,COL,2000,109863
Colombia,COL,2005,110495
Colombia,COL,2010,126424
Colombia,COL,2015,145504
Colombia,COL,2020,1932807
Colombia,COL,2024,3063518
Comoros,COM,1990,14079
Comoros,COM,1995,13939
Comoros,COM,2000,13799
Comoros,COM,2005,13209
Comoros,COM,2010,12618
Comoros,COM,2015,12555
Comoros,COM,2020,12496
Comoros,COM,2024,12449
Congo,COG,1990,129391
Congo,COG,1995,191635
Congo,COG,2000,305880
Congo,COG,2005,318724
Congo,COG,2010,425173
Congo,COG,2015,390142
Congo,COG,2020,387606
Congo,COG,2024,385589
Cook Islands,COK,1990,2587
Cook Islands,COK,1995,2686
Cook Islands,COK,2000,2785
Cook Islands,COK,2005,3277
Cook Islands,COK,2010,3769
Cook Islands,COK,2015,4168
Cook Islands,COK,2020,4579
Cook Islands,COK,2024,4937
Costa Rica,CRI,1990,417628
Costa Rica,CRI,1995,364287
Costa Rica,CRI,2000,310946
Costa Rica,CRI,2005,358398
Costa Rica,CRI,2010,405779
Costa Rica,CRI,2015,411697
Costa Rica,CRI,2020,520729
Costa Rica,CRI,2024,628404
Cote d'Ivoire,CIV,1990,1822374
Cote d'Ivoire,CIV,1995,1992981
Cote d'Ivoire,CIV,2000,2157339
Cote d'Ivoire,CIV,2005,2308068
Cote d'Ivoire,CIV,2010,2458796
Cote d'Ivoire,CIV,2015,2609525
Cote d'Ivoire,CIV,2020,2760255
Cote d'Ivoire,CIV,2024,2880839
Croatia,HRV,1990,475438
Croatia,HRV,1995,674085
Croatia,HRV,2000,585298
Croatia,HRV,2005,579273
Croatia,HRV,2010,573248
Croatia,HRV,2015,561093
Croatia,HRV,2020,528056
Croatia,HRV,2024,527831
Cuba,CUB,1990,34555
Cuba,CUB,1995,26187
Cuba,CUB,2000,18545
Cuba,CUB,2005,11693
Cuba,CUB,2010,7373
Cuba,CUB,2015,4649
Cuba,CUB,2020,3024
Cuba,CUB,2024,2144
Curacao,CUW,1990,43150
Curacao,CUW,1995,43150
Curacao,CUW,2000,43150
Curacao,CUW,2005,43150
Curacao,CUW,2010,34630
Curacao,CUW,2015,37611
Curacao,CUW,2020,57210
Curacao,CUW,2024,80020
Cyprus,CYP,1990,43805
Cyprus,CYP,1995,61941
Cyprus,CYP,2000,80076
Cyprus,CYP,2005,122849
Cyprus,CYP,2010,188472
Cyprus,CYP,2015,176693
Cyprus,CYP,2020,190366
Cyprus,CYP,2024,202062
Czechia,CZE,1990,442428
Czechia,CZE,1995,531039
Czechia,CZE,2000,639018
Czechia,CZE,2005,670689
Czechia,CZE,2010,692197
Czechia,CZE,2015,688047
Czechia,CZE,2020,680221
Czechia,CZE,2024,1025199
Democratic Republic of Congo,COD,1990,754194
Democratic Republic of Congo,COD,1995,1816963
Democratic Republic of Congo,COD,2000,744387
Democratic Republic of Congo,COD,2005,623009
Democratic Republic of Congo,COD,2010,589882
Democratic Republic of Congo,COD,2015,810018
Democratic Republic of Congo,COD,2020,952871
Democratic Republic of Congo,COD,2024,1085090
Denmark,DNK,1990,235918
Denmark,DNK,1995,298278
Denmark,DNK,2000,372128
Denmark,DNK,2005,423167
Denmark,DNK,2010,509751
Denmark,DNK,2015,616741
Denmark,DNK,2020,718856
Denmark,DNK,2024,847475
Djibouti,DJI,1990,122221
Djibouti,DJI,1995,99774
Djibouti,DJI,2000,100507
Djibouti,DJI,2005,92110
Djibouti,DJI,2010,102307
Djibouti,DJI,2015,112351
Djibouti,DJI,2020,119738
Djibouti,DJI,2024,125996
Dominica,DMA,1990,2519
Dominica,DMA,1995,3121
Dominica,DMA,2000,3723
Dominica,DMA,2005,4744
Dominica,DMA,2010,8110
Dominica,DMA,2015,8093
Dominica,DMA,2020,8284
Dominica,DMA,2024,8440
Dominican Republic,DOM,1990,291151
Dominican Republic,DOM,1995,323381
Dominican Republic,DOM,2000,355611
Dominican Republic,DOM,2005,375417
Dominican Republic,DOM,2010,395479
Dominican Republic,DOM,2015,549289
Dominican Republic,DOM,2020,603794
Dominican Republic,DOM,2024,738667
East Timor,TLS,1990,8954
East Timor,TLS,1995,9743
East Timor,TLS,2000,10602
East Timor,TLS,2005,11286
East Timor,TLS,2010,11540
East Timor,TLS,2015,8520
East Timor,TLS,2020,8399
East Timor,TLS,2024,8303
Eastern Africa (UN),,1990,6347780
Eastern Africa (UN),,1995,5361041
Eastern Africa (UN),,2000,5239557
Eastern Africa (UN),,2005,5141624
Eastern Africa (UN),,2010,4424112
Eastern Africa (UN),,2015,6304660
Eastern Africa (UN),,2020,7528179
Eastern Africa (UN),,2024,8302733
Eastern Asia (UN),,1990,4118088
Eastern Asia (UN),,1995,4952397
Eastern Asia (UN),,2000,5921878
Eastern Asia (UN),,2005,6662116
Eastern Asia (UN),,2010,7484060
Eastern Asia (UN),,2015,9237513
Eastern Asia (UN),,2020,10919614
Eastern Asia (UN),,2024,11559387
Eastern Europe (UN),,1990,22316123
Eastern Europe (UN),,1995,21705675
Eastern Europe (UN),,2000,20853646
Eastern Europe (UN),,2005,20092493
Eastern Europe (UN),,2010,19389898
Eastern Europe (UN),,2015,17559211
Eastern Europe (UN),,2020,16162524
Eastern Europe (UN),,2024,18646093
Eastern and South-Eastern Asia (UN),,1990,6755128
Eastern and South-Eastern Asia (UN),,1995,8203094
Eastern and South-Eastern Asia (UN),,2000,10530525
Eastern and South-Eastern Asia (UN),,2005,12702261
Eastern and South-Eastern Asia (UN),,2010,16051107
Eastern and South-Eastern Asia (UN),,2015,18869062
Eastern and South-Eastern Asia (UN),,2020,21161853
Eastern and South-Eastern Asia (UN),,2024,22588980
Ecuador,ECU,1990,139204
Ecuador,ECU,1995,145626
Ecuador,ECU,2000,150585
Ecuador,ECU,2005,144415
Ecuador,ECU,2010,358874
Ecuador,ECU,2015,332142
Ecuador,ECU,2020,721560
Ecuador,ECU,2024,747749
Egypt,EGY,1990,144713
Egypt,EGY,1995,160802
Egypt,EGY,2000,179364
Egypt,EGY,2005,288944
Egypt,EGY,2010,323177
Egypt,EGY,2015,499292
Egypt,EGY,2020,602472
Egypt,EGY,2024,1139820
El Salvador,SLV,1990,47360
El Salvador,SLV,1995,39537
El Salvador,SLV,2000,31713
El Salvador,SLV,2005,36029
El Salvador,SLV,2010,40342
El Salvador,SLV,2015,42059
El Salvador,SLV,2020,42767
El Salvador,SLV,2024,43342
Equatorial Guinea,GNQ,1990,2740
Equatorial Guinea,GNQ,1995,3629
Equatorial Guinea,GNQ,2000,4517
Equatorial Guinea,GNQ,2005,6588
Equatorial Guinea,GNQ,2010,8658
Equatorial Guinea,GNQ,2015,209611
Equatorial Guinea,GNQ,2020,230618
Equatorial Guinea,GNQ,2024,248930
Eritrea,ERI,1990,11848
Eritrea,ERI,1995,12400
Eritrea,ERI,2000,12952
Eritrea,ERI,2005,15905
Eritrea,ERI,2010,15813
Eritrea,ERI,2015,15941
Eritrea,ERI,2020,13934
Eritrea,ERI,2024,12512
Estonia,EST,1990,381997
Estonia,EST,1995,315755
Estonia,EST,2000,249512
Estonia,EST,2005,233701
Estonia,EST,2010,217890
Estonia,EST,2015,194664
Estonia,EST,2020,199277
Estonia,EST,2024,203046
Eswatini,SWZ,1990,74991
Eswatini,SWZ,1995,35157
Eswatini,SWZ,2000,34084
Eswatini,SWZ,2005,33392
Eswatini,SWZ,2010,32637
Eswatini,SWZ,2015,32352
Eswatini,SWZ,2020,32858
Eswatini,SWZ,2024,33268
Ethiopia,ETH,1990,875325
Ethiopia,ETH,1995,478712
Ethiopia,ETH,2000,311441
Ethiopia,ETH,2005,170773
Ethiopia,ETH,2010,227078
Ethiopia,ETH,2015,797374
Ethiopia,ETH,2020,875170
Ethiopia,ETH,2024,1168455
Europe,,1990,51447080
Europe,,1995,56458023
Europe,,2000,59200614
Europe,,2005,65844990
Europe,,2010,72620117
Europe,,2015,75805539
Europe,,2020,83078211
Europe,,2024,94168026
Europe and Northern America (UN),,1990,79008202
Europe and Northern America (UN),,1995,89861179
Europe and Northern America (UN),,2000,99542834
Europe and Northern America (UN),,2005,111451697
Europe and Northern America (UN),,2010,123517093
Europe and Northern America (UN),,2015,131730220
Europe and Northern America (UN),,2020,141802488
Europe and Northern America (UN),,2024,155259380
European Union (27),,1990,24649984
European Union (27),,1995,29023930
European Union (27),,2000,31944954
European Union (27),,2005,38186192
European Union (27),,2010,43690985
European Union (27),,2015,47117669
European Union (27),,2020,54404693
European Union (27),,2024,63315939
Falkland Islands,FLK,1990,855
Falkland Islands,FLK,1995,868
Falkland Islands,FLK,2000,1067
Falkland Islands,FLK,2005,1166
Falkland Islands,FLK,2010,1436
Falkland Islands,FLK,2015,1571
Falkland Islands,FLK,2020,1957
Falkland Islands,FLK,2024,2333
Faroe Islands,FRO,1990,4285
Faroe Islands,FRO,1995,2900
Faroe Islands,FRO,2000,3593
Faroe Islands,FRO,2005,4583
Faroe Islands,FRO,2010,5096
Faroe Islands,FRO,2015,5485
Faroe Islands,FRO,2020,6812
Faroe Islands,FRO,2024,8101
Fiji,FJI,1990,13283
Fiji,FJI,1995,13001
Fiji,FJI,2000,12719
Fiji,FJI,2005,12434
Fiji,FJI,2010,13357
Fiji,FJI,2015,13751
Fiji,FJI,2020,14087
Fiji,FJI,2024,14362
Finland,FIN,1990,63255
Finland,FIN,1995,99729
Finland,FIN,2000,136203
Finland,FIN,2005,192169
Finland,FIN,2010,228481
Finland,FIN,2015,314856
Finland,FIN,2020,386052
Finland,FIN,2024,514432
France,FRA,1990,5890023
France,FRA,1995,5936326
France,FRA,2000,6141350
France,FRA,2005,6839877
France,FRA,2010,7322210
France,FRA,2015,7978076
France,FRA,2020,8610719
France,FRA,2024,9186757
French Guiana,GUF,1990,63612
French Guiana,GUF,1995,70131
French Guiana,GUF,2000,76649
French Guiana,GUF,2005,86468
French Guiana,GUF,2010,96288
French Guiana,GUF,2015,106108
French Guiana,GUF,2020,119249
French Guiana,GUF,2024,130924
French Polynesia,PYF,1990,25830
French Polynesia,PYF,1995,28360
French Polynesia,PYF,2000,30329
French Polynesia,PYF,2005,32286
French Polynesia,PYF,2010,31640
French Polynesia,PYF,2015,30058
French Polynesia,PYF,2020,30081
French Polynesia,PYF,2024,30099
Gabon,GAB,1990,128188
Gabon,GAB,1995,171427
Gabon,GAB,2000,214431
Gabon,GAB,2005,233824
Gabon,GAB,2010,270829
Gabon,GAB,2015,378686
Gabon,GAB,2020,416651
Gabon,GAB,2024,449746
Gambia,GMB,1990,118123
Gambia,GMB,1995,150890
Gambia,GMB,2000,182514
Gambia,GMB,2005,181839
Gambia,GMB,2010,185837
Gambia,GMB,2015,192540
Gambia,GMB,2020,215659
Gambia,GMB,2024,236137
Georgia,GEO,1990,304470
Georgia,GEO,1995,152235
Georgia,GEO,2000,76117
Georgia,GEO,2005,71296
Georgia,GEO,2010,73078
Georgia,GEO,2015,76685
Georgia,GEO,2020,79368
Georgia,GEO,2024,81582
Germany,DEU,1990,6960112
Germany,DEU,1995,9637208
Germany,DEU,2000,10397459
Germany,DEU,2005,11210590
Germany,DEU,2010,11665950
Germany,DEU,2015,12646813
Germany,DEU,2020,15021300
Germany,DEU,2024,16750084
Ghana,GHA,1990,164851
Ghana,GHA,1995,252879
Ghana,GHA,2000,191601
Ghana,GHA,2005,309932
Ghana,GHA,2010,337766
Ghana,GHA,2015,414744
Ghana,GHA,2020,476412
Ghana,GHA,2024,532286
Gibraltar,GIB,1990,8709
Gibraltar,GIB,1995,8381
Gibraltar,GIB,2000,8054
Gibraltar,GIB,2005,9211
Gibraltar,GIB,2010,10369
Gibraltar,GIB,2015,11065
Gibraltar,GIB,2020,11190
Gibraltar,GIB,2024,11291
Greece,GRC,1990,618139
Greece,GRC,1995,857850
Greece,GRC,2000,1111665
Greece,GRC,2005,1190707
Greece,GRC,2010,1321149
Greece,GRC,2015,1242924
Greece,GRC,2020,1340456
Greece,GRC,2024,1423964
Greenland,GRL,1990,9282
Greenland,GRL,1995,7121
Greenland,GRL,2000,6601
Greenland,GRL,2005,6556
Greenland,GRL,2010,6091
Greenland,GRL,2015,6009
Greenland,GRL,2020,5899
Greenland,GRL,2024,5812
Grenada,GRD,1990,4263
Grenada,GRD,1995,5544
Grenada,GRD,2000,6825
Grenada,GRD,2005,6902
Grenada,GRD,2010,6980
Grenada,GRD,2015,7057
Grenada,GRD,2020,7213
Grenada,GRD,2024,7340
Guadeloupe,GLP,1990,65944
Guadeloupe,GLP,1995,74566
Guadeloupe,GLP,2000,83188
Guadeloupe,GLP,2005,89065
Guadeloupe,GLP,2010,94942
Guadeloupe,GLP,2015,90956
Guadeloupe,GLP,2020,90206
Guadeloupe,GLP,2024,89610
Guam,GUM,1990,69755
Guam,GUM,1995,71912
Guam,GUM,2000,74070
Guam,GUM,2005,74743
Guam,GUM,2010,75416
Guam,GUM,2015,76089
Guam,GUM,2020,80472
Guam,GUM,2024,84159
Guatemala,GTM,1990,264257
Guatemala,GTM,1995,156188
Guatemala,GTM,2000,48119
Guatemala,GTM,2005,57214
Guatemala,GTM,2010,66386
Guatemala,GTM,2015,74852
Guatemala,GTM,2020,84311
Guatemala,GTM,2024,92732
Guinea,GIN,1990,403621
Guinea,GIN,1995,774505
Guinea,GIN,2000,560075
Guinea,GIN,2005,233419
Guinea,GIN,2010,178762
Guinea,GIN,2015,126657
Guinea,GIN,2020,121437
Guinea,GIN,2024,117416
Guinea-Bissau,GNB,1990,15368
Guinea-Bissau,GNB,1995,27961
Guinea-Bissau,GNB,2000,20450
Guinea-Bissau,GNB,2005,20902
Guinea-Bissau,GNB,2010,21391
Guinea-Bissau,GNB,2015,22333
Guinea-Bissau,GNB,2020,17945
Guinea-Bissau,GNB,2024,15064
Guyana,GUY,1990,4095
Guyana,GUY,1995,6352
Guyana,GUY,2000,8610
Guyana,GUY,2005,10868
Guyana,GUY,2010,8182
Guyana,GUY,2015,8661
Guyana,GUY,2020,31169
Guyana,GUY,2024,54175
Haiti,HTI,1990,19084
Haiti,HTI,1995,18129
Haiti,HTI,2000,17222
Haiti,HTI,2005,16360
Haiti,HTI,2010,17182
Haiti,HTI,2015,18047
Haiti,HTI,2020,18884
Haiti,HTI,2024,19581
High-income countries,,1990,88333862
High-income countries,,1995,102088549
High-income countries,,2000,115633359
High-income countries,,2005,133017479
High-income countries,,2010,154598685
High-income countries,,2015,174368115
High-income countries,,2020,188915095
High-income countries,,2024,206512637
Honduras,HND,1990,270423
Honduras,HND,1995,149442
Honduras,HND,2000,28461
Honduras,HND,2005,27934
Honduras,HND,2010,27288
Honduras,HND,2015,38330
Honduras,HND,2020,39195
Honduras,HND,2024,39901
Hong Kong,HKG,1990,2218473
Hong Kong,HKG,1995,2443798
Hong Kong,HKG,2000,2669122
Hong Kong,HKG,2005,2721235
Hong Kong,HKG,2010,2779950
Hong Kong,HKG,2015,2841113
Hong Kong,HKG,2020,2962492
Hong Kong,HKG,2024,3063318
Hungary,HUN,1990,347510
Hungary,HUN,1995,322234
Hungary,HUN,2000,296957
Hungary,HUN,2005,366787
Hungary,HUN,2010,436616
